gwgroupid,year,countries_gwid,onset_id,countryname,territorial_c,intensity_level,active_dyads,active_dyads_change,ongoing_any,ongoing_lowint,ongoing_highint,onset_lowint,onset_lowint5,onset_lowint_terr,onset_lowint_govt,onset_highint,escalation,peaceyrs_lowint,peaceyrs_highint,waryrs,waryrs_lowint,waryrs_highint,int_level_lag,int_level1_lag,int_level2_lag,prev_conf_recipient,warhist_onset5,OSV_Gov_Est,Target_Gov,ActorId_Gov,OSV_Gov_Total,ActorId_Gov_n,OSV_Reb_Est,Target_Reb,ActorId_Reb,OSV_Reb_Total,ActorId_Reb_n,Target_agEGIP,OSV_agEGIP,family_warhist,family_peaceyears,downgraded2,downgraded5,downgraded_excl2,downgraded_excl5,status_excl,status_discrim,statusname,groupsize,family_incidence_flag,family_incidence_terr_flag,family_incidence_gov_flag,incidence_flag,incidence_eth_flag,ln_gdppc_l,ln_pop_l,OSV_Gov_relat,OSV_Reb_relat,OSV_Gov_onset,Target_Gov_onset,Target_Gov_l1,Target_Gov_l2,Target_Gov_l5,Target_Reb_l1,Target_Reb_l2,Target_Reb_l5,OSV_Gov_l1,OSV_Gov_l2,OSV_Gov_l5,OSV_agEGIP_l1,OSV_agEGIP_l2,OSV_agEGIP_l5,Target_agEGIP_l1,Target_agEGIP_l2,Target_agEGIP_l5,cincidence_flag_l,cincidence_eth_flag_l,warhist_pre89,yrs_excl,yrs_excl_all,yrs_excl_cum,ever_excl,yrs_disc,yrs_disc_all,yrs_disc_cum,ever_disc,yrs_excl_onset,yrs_excl_all_onset,yrs_excl_cum_onset,ever_excl_onset,yrs_disc_onset,yrs_disc_all_onset,yrs_disc_cum_onset,ever_disc_onset,downgraded2_onset,downgraded5_onset,downgraded_excl2_onset,downgraded_excl5_onset,status_excl_onset,status_disc_onset,PKO,PTS_S_l,v2x_polyarchy_l,v2x_libdem_l,v2x_partipdem_l,groupname,family_warhist2,fam_warhist_dummy,fam_warhist2_dummy,warhist_onset5_dummy,targ_history,fam_warhist2_OSV_dummy,warhist_onset5_OSV_dummy,l_yrs_excl_all,l_yrs_disc_all,l_yrs_excl_cum,l_yrs_disc_cum,l_yrs_excl,l_yrs_disc,pys_low2,pys_low3,wys_low2,wys_low3,wys_high2,wys_high3,Target_Gov_l1pr,Target_Gov_l1unpr,risktaking
201000,2009,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,63,63,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,63,1.0,1.0,0.0,0.0,0.0,0.0,SENIOR PARTNER,0.660000026,0,0,0,1,0,10.6652998842219,12.6280311860938,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.899,0.838,0.659,Whites,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3969,250047,0,0,0,0,0.0,0.0,0.11659
201000,2010,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,64,64,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,64,1.0,1.0,0.0,0.0,0.0,0.0,SENIOR PARTNER,0.660000026,0,0,0,1,0,10.6199549409551,12.6368374339583,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.899,0.846,0.65,Whites,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4096,262144,0,0,0,0,0.0,0.0,0.11659
201000,2011,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,65,65,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,65,0.0,1.0,0.0,0.0,0.0,0.0,SENIOR PARTNER,0.660000026,0,0,0,1,0,10.6365078776005,12.6455653584801,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.907,0.862,0.681,Whites,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4225,274625,0,0,0,0,0.0,0.0,0.11659
201000,2012,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,66,66,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,66,0.0,1.0,0.0,0.0,0.0,0.0,SENIOR PARTNER,0.660000026,0,0,0,1,0,10.6487571961283,12.6542312118774,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.934,0.891,0.685,Whites,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4356,287496,0,0,0,0,0.0,0.0,0.11659
201000,2013,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,67,67,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,67,0.0,1.0,0.0,0.0,0.0,0.0,SENIOR PARTNER,0.660000026,0,0,0,1,0,10.6631357206891,12.6618492870144,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.937,0.896,0.69,Whites,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4489,300763,0,0,0,0,0.0,0.0,0.11659
202000,1989,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,43,43,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,43,0.0,0.0,0.0,0.0,1.0,0.0,POWERLESS,0.125,0,0,0,0,0,10.3256721084511,12.4227214717025,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,0.0,24.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.863,0.801,0.613,Latinos,0,0,0,0,0,0,0,3.2188758248682,0.0,3.2188758248682,0.0,3.2188758248682,0.0,1849,79507,0,0,0,0,,,0.11659
202000,1990,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,44,44,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,44,0.0,0.0,0.0,0.0,1.0,0.0,POWERLESS,0.125,0,0,0,0,0,10.350550673984,12.4326413243923,0.0,0.0,0,0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,25.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.86,0.799,0.613,Latinos,0,0,0,0,0,0,0,3.25809653802148,0.0,3.25809653802148,0.0,3.25809653802148,0.0,1936,85184,0,0,0,0,0.0,0.0,0.11659
202000,1991,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,45,45,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,45,0.0,0.0,0.0,0.0,1.0,0.0,POWERLESS,0.125,0,0,0,0,0,10.3555890785951,12.4424841864932,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,26.0,26.0,26.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.871,0.813,0.64,Latinos,0,0,0,0,0,0,0,3.29583686600433,0.0,3.29583686600433,0.0,3.29583686600433,0.0,2025,91125,0,0,0,0,0.0,0.0,0.11659
202000,1992,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,46,46,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,46,0.0,0.0,0.0,0.0,1.0,0.0,POWERLESS,0.125,0,0,0,0,0,10.3411878135373,12.4521798620076,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,27.0,27.0,27.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.873,0.814,0.633,Latinos,0,0,0,0,0,0,0,3.3322045101752,0.0,3.3322045101752,0.0,3.3322045101752,0.0,2116,97336,0,0,0,0,0.0,0.0,0.11659
202000,1993,2,,United States,,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,47,47,0,0,0,0.0,0.0,0.0,0,0,0,0,,0.0,,0,0,,0,,0,0,0,47,0.0,0.0,0.0,0.0,1.0,0.0,POWERLESS,0.125,0,0,0,0,0,10.367004878626,12.461783749806,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,28.0,28.0,28.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.88,0.825,0.632,Latinos,0,0,0,0,0,0,0,3.36729582998647,0.0,3.36729582998647,0.0,3.36729582998647,0.0,2209,103823,0,0,0,0,0.0,0.0,0.11659
